Quarter,Date,BTC_Price,ETH_Price,L1_Liquidity,L2_Macro,L3_Cycle,L4_Sectors,Composite,Phase,Key_Events
2020-Q1,2020-03-31,6425,132,4.00,1.50,2.50,2.00,2.60,Cautious,"COVID crash; Fed cuts to 0%; QE launched"
2020-Q2,2020-06-30,9137,231,4.50,2.50,3.00,3.00,3.33,Cautious,"Unlimited QE; DeFi summer begins; halving May"
2020-Q3,2020-09-30,10784,360,4.50,3.00,3.50,4.00,3.78,Lean Aggressive,"DeFi summer peak; M2 surging ~25% YoY"
2020-Q4,2020-12-31,28990,737,4.50,3.50,4.00,4.00,4.03,Lean Aggressive,"MicroStrategy; PayPal; BTC breaks ATH"
2021-Q1,2021-03-31,58918,1822,4.50,3.50,4.50,4.50,4.25,Max Offense,"Stimulus checks; NFTs; Tesla buys BTC"
2021-Q2,2021-06-30,35040,2275,4.00,3.00,3.50,3.50,3.53,Lean Aggressive,"China mining ban; tapering talk begins"
2021-Q3,2021-09-30,43790,3001,3.50,3.00,3.50,4.00,3.48,Cautious,"NFT boom; Axie; El Salvador; taper talk"
2021-Q4,2021-12-31,46306,3682,3.00,2.50,3.50,4.00,3.20,Cautious,"BTC $69K ATH Nov; taper announced; inflation 6%+"
2022-Q1,2022-03-31,45538,3284,2.00,2.00,2.50,2.50,2.23,Defensive,"Russia-Ukraine war; rate hikes imminent"
2022-Q2,2022-06-30,19784,1067,1.50,1.50,1.50,1.50,1.50,Preservation,"LUNA collapse; 3AC; 75bps hikes; QT starts"
2022-Q3,2022-09-30,19431,1328,1.50,1.50,2.00,1.50,1.63,Defensive,"Aggressive hikes; DXY 114; ETH Merge"
2022-Q4,2022-12-31,16547,1196,1.50,2.00,1.50,1.50,1.63,Defensive,"FTX collapse; BTC bottom ~$15.5K"
2023-Q1,2023-03-31,28478,1822,2.50,2.50,2.50,2.50,2.50,Cautious,"SVB crisis; BTFP liquidity; AI narrative"
2023-Q2,2023-06-30,30472,1933,2.50,2.50,3.00,3.00,2.73,Cautious,"BlackRock ETF filing; RWA narrative"
2023-Q3,2023-09-30,26968,1671,2.50,2.50,3.00,2.50,2.63,Cautious,"Last hike Jul; quiet summer"
2023-Q4,2023-12-31,42265,2282,3.00,3.00,3.50,3.50,3.23,Cautious,"Rate cuts expected; ETF anticipation"
2024-Q1,2024-03-31,71289,3610,3.50,3.50,4.00,4.00,3.73,Lean Aggressive,"ETF approved Jan; halving Apr; massive inflows"
2024-Q2,2024-06-30,62658,3482,3.00,3.00,3.50,3.50,3.23,Cautious,"Higher for longer; consolidation"
2024-Q3,2024-09-30,63503,2592,3.50,3.50,3.50,3.50,3.50,Lean Aggressive,"Fed cuts 50bps Sep; dovish pivot"
2024-Q4,2024-12-31,93354,3334,4.00,3.50,4.00,4.50,3.98,Lean Aggressive,"Trump wins; BTC $109K ATH; AI agents"
2025-Q1,2025-03-31,82500,2100,3.50,2.50,3.50,3.50,3.25,Cautious,"Tariff fears; trade war; BTC pullback"
2025-Q2,2025-06-30,95000,2800,3.50,3.00,4.00,4.00,3.60,Lean Aggressive,"Tensions ease; M2 expanding; bull resumes"
2025-Q3,2025-09-30,103000,3200,3.50,3.00,4.00,4.00,3.60,Lean Aggressive,"Cycle momentum; AI/RWA strong; M2 $22T"
2025-Q4,2025-12-31,109000,3500,3.50,2.50,3.50,3.50,3.25,Cautious,"Near ATH; US-Iran escalates; distribution"
2026-Q1,2026-03-05,71313,1950,2.75,1.75,3.25,2.50,2.58,Cautious,"US-Iran war; BTC -36% ATH; F&G 22"
